hash,original_text,text
38d2a2f27df06c113f30c85e7fe18b45,loud,loud
0b6a4a69036183cd3439096ed0ed54b8,loud,loud
ba12754597b3a458f7c0e6b21a4dd44b,loud,loud
5ced4102806ff0845bcd6d8acd6255ce,loud,loud
6d27ad37eb0df552602db2402dc84d99,loud,loud
6cbd52b91647728e6ae9d6b09610f870,loud,loud
c8652ba1b0f0c55323d26e9e41b39c73,loud,loud
b965d845c1c6f9d192497b09a8fac9bf,loud,loud
f7102a506d2bf471806775e5f0829e06,loud,loud
1dd3933665cb048e059cc987599feeb8,loud,loud
1b1c724ea209a67cbcd3534c2d3f3b96,loud,loud
ec8e5a39baf1027ba83ab57492c6b4bb,loud,loud
0c9ec600bbd6915ad9f34a8be8a5dae4,loud,loud
b7244348d4e7e6198af97e289929ff03,loud,loud
f3c84238d90a2d8d463365ffee214189,loud,loud
5c5d6578a5d7ae11544f2252e4b76ddf,loud,loud
08639207b4a1c292a9fc01ebbf1d3fe5,loud,loud
71c6cdc7954baed928246638b3cb4f62,loud,loud
e16abcad97f75127ed281ea079841e1f,loud,loud
7a172d8ec2caab651ad7b70649ef231b,loud,loud
74d56011e80f7367a4d2387abb924c0c,loud,loud
1fe12eb459752703db7860e8ab1a5dee,mean,mean
853557f493c0a4d7547c63e23ddb6ab0,mean,mean
e1c3a88f18c7b1663de4dff40d6e36d3,mean,mean
8798e2e01b130d7f87be3dcc75a536f3,mean,mean
c4e5e62d55037b425126a4921c71d280,mean,mean
a03f5d7b1bcc2485c3deb96d54b24edf,mean,mean
42aba8fa067d36f34d4116aaee680412,mean,mean
280f79037cd7616dbf4f0f2d226e331b,mean,mean
589974a04e5e4d4db51f006fdaa7d848,rich,rich
b65db385ff73571a1bd6cf4f0833a623,rich,rich
7ff50f5f82b11e7589574546bf599859,rich,rich
c4d88fd1562cfe70b7a9d1c26cd877a3,rich,rich
fddddd6ba130625f9af0172ced520e7b,rich,rich
3345680746d233d234732c6400820829,rich,rich
2c1115a16c76bc068c68c88b9facf315,rich,rich
89b91acf690a5e4ebb3c071adc863d69,rich,rich
c77596e0bbea00d74eebc6319842aae1,poor,poor
f355eda0b9c0a2a5d9536a6994d14d72,poor,poor
17a5b218e7800554a6784eb7c1903e9b,poor,poor
ac1ac9ca6f4ebd7e865b66a51d7220fc,poor,poor
06165aa69d14a604566700bf6435a205,poor,poor
d351b9669a526534f78d40cb68e9c076,poor,poor
2d36debcc7e35c5de97a5585dc6b56ed,poor,poor
07a5d130063b94a02d94323aa0c67701,poor,poor
26ca8267fadcafc08263b9ddc1f2e0e0,thick,thick
eed4e0a3796b2eb5f2dc16ad0c630a52,thick,thick
8eb93be7a5ebf084355ff44157bbace0,thick,thick
7202339c9a228a8a688bd0b675b8d45a,thick,thick
a8db95b35383c4bd7358cf17795b2956,thick,thick
